Member_number,Date,itemDescription
1652,6/12/2014,fruit/vegetable juice
1653,7/12/2015,pip fruit
1653,18-07-2014,chicken
1653,27-12-2014,newspapers
1653,20-12-2014,citrus fruit
1653,29-05-2014,whole milk
1653,23-04-2014,hamburger meat
1653,7/12/2015,frozen vegetables
1653,18-07-2014,herbs
1653,27-12-2014,cream cheese 
1653,20-12-2014,rolls/buns
1653,29-05-2014,long life bakery product
1653,23-04-2014,pastry
1653,7/12/2015,butter milk
1653,29-05-2014,margarine
1653,27-12-2014,long life bakery product
1653,18-07-2014,frozen meals
1653,23-04-2014,flour
1653,20-12-2014,canned fish
1654,28-09-2015,cream cheese 
1654,25-03-2015,whisky
1654,9/11/2015,frozen dessert
1654,29-04-2015,dish cleaner
1654,29-04-2015,rolls/buns
1654,9/11/2015,beef
1654,7/6/2014,whole milk
1654,26-11-2014,pip fruit
1654,8/9/2014,whole milk
1654,6/4/2014,whole milk
1654,28-09-2015,rolls/buns
1654,25-03-2015,shopping bags
1654,9/11/2015,citrus fruit
1654,29-04-2015,frozen potato products
1654,29-04-2015,frozen vegetables
1654,9/11/2015,root vegetables
1654,7/6/2014,other vegetables
1654,26-11-2014,other vegetables
1654,8/9/2014,butter
1654,6/4/2014,frozen dessert
1654,10/8/2014,cream cheese 
1654,25-03-2015,rum
1654,10/8/2014,female sanitary products
1655,20-11-2015,sausage
1655,4/11/2014,pip fruit
1655,21-06-2014,brown bread
1655,12/1/2014,bottled water
1655,20-11-2015,whole milk
1655,4/11/2014,white wine
1655,21-06-2014,frozen fish
1655,12/1/2014,rolls/buns
1655,4/11/2014,chocolate
1656,30-10-2015,specialty cheese
1656,14-02-2015,ham
1656,13-08-2015,hard cheese
1656,7/7/2015,tropical fruit
1656,13-08-2015,bottled beer
1656,7/7/2015,dessert
1656,30-10-2015,sliced cheese
1656,14-02-2015,rolls/buns
1656,13-08-2015,whole milk
1656,7/7/2015,white bread
1656,13-08-2015,liquor (appetizer)
1656,7/7/2015,bottled water
1657,12/5/2014,other vegetables
1657,4/3/2014,frozen potato products
1657,29-04-2014,frozen meals
1657,12/5/2014,whole milk
1657,4/3/2014,rolls/buns
1657,29-04-2014,frozen meals
1658,3/9/2015,sausage
1658,15-06-2015,beef
1658,9/8/2014,newspapers
1658,26-06-2014,pork
1658,3/1/2014,citrus fruit
1658,3/9/2015,dish cleaner
1658,15-06-2015,butter
1658,9/8/2014,soda
1658,26-06-2014,coffee
1658,3/1/2014,flour
1658,26-06-2014,margarine
1658,9/8/2014,female sanitary products
1659,30-11-2015,coffee
1659,7/8/2015,frankfurter
1659,10/3/2015,yogurt
1659,25-03-2015,chewing gum
1659,25-12-2014,brown bread
1659,5/7/2014,dishes
1659,1/1/2014,specialty chocolate
1659,30-11-2015,whole milk
1659,7/8/2015,bottled water
1659,10/3/2015,tropical fruit
1659,25-03-2015,other vegetables
1659,25-12-2014,frozen dessert
1659,5/7/2014,yogurt
1659,1/1/2014,frozen vegetables
1659,25-03-2015,specialty bar
1660,26-07-2015,beef
1660,3/4/2014,packaged fruit/vegetables
1660,15-06-2014,misc. beverages
1660,26-07-2015,specialty chocolate
1660,3/4/2014,other vegetables
1660,15-06-2014,sliced cheese
1660,15-06-2014,domestic eggs
1661,1/6/2015,packaged fruit/vegetables
1661,8/11/2015,pip fruit
1661,1/6/2015,root vegetables
1661,21-07-2014,dessert
1661,21-01-2014,pip fruit
1661,2/3/2014,root vegetables
1661,29-08-2014,tropical fruit
1661,1/6/2015,sliced cheese
1661,8/11/2015,white wine
1661,1/6/2015,pip fruit
1661,21-07-2014,mustard
1661,21-01-2014,tidbits
1661,2/3/2014,salty snack
1661,29-08-2014,frozen fruits
1661,2/3/2014,whipped/sour cream
1661,8/11/2015,shopping bags
1661,21-07-2014,white bread
1662,12/6/2015,beef
1662,27-01-2014,rolls/buns
1662,12/6/2015,bottled water
1662,27-01-2014,sugar
1662,27-01-2014,fruit/vegetable juice
1663,7/2/2015,rolls/buns
1663,19-05-2015,pork
1663,11/11/2015,tropical fruit
1663,7/2/2015,onions
1663,24-02-2014,yogurt
1663,7/2/2015,butter
1663,19-05-2015,yogurt
1663,11/11/2015,tropical fruit
1663,7/2/2015,whole milk
1663,24-02-2014,soft cheese
1663,24-02-2014,herbs
1663,7/2/2015,rolls/buns
1663,24-02-2014,rolls/buns
1664,1/4/2015,whole milk
1664,1/4/2015,frankfurter
1664,1/10/2014,rolls/buns
1664,6/10/2014,pork
1664,1/4/2015,whole milk
1664,1/4/2015,curd
1664,1/10/2014,misc. beverages
1664,6/10/2014,sugar
1664,1/4/2015,canned vegetables
1664,1/10/2014,soda
1665,11/4/2015,whole milk
1665,29-11-2015,other vegetables
1665,20-08-2014,curd cheese
1665,11/4/2015,UHT-milk
1665,29-11-2015,soda
1665,20-08-2014,canned beer
1666,15-04-2015,sausage
1666,13-05-2014,pip fruit
1666,15-04-2015,long life bakery product
1666,13-05-2014,flower (seeds)
1667,12/1/2015,beef
1667,12/1/2015,onions
1668,21-08-2015,citrus fruit
1668,14-03-2015,herbs
1668,5/5/2015,chicken
1668,5/5/2015,rolls/buns
1668,25-07-2014,turkey
1668,21-08-2015,female sanitary products
1668,14-03-2015,curd
1668,5/5/2015,pip fruit
1668,5/5/2015,pastry
1668,25-07-2014,bottled water
1668,5/5/2015,frozen meals
1669,19-08-2015,soda
1669,19-08-2015,sausage
1669,19-08-2015,root vegetables
1669,19-08-2015,pork
1669,19-08-2015,whole milk
1669,19-08-2015,vinegar
1669,19-08-2015,other vegetables
1669,19-08-2015,domestic eggs
1669,19-08-2015,shopping bags
1670,17-05-2015,ice cream
1670,22-11-2015,fish
1670,30-06-2015,chicken
1670,17-05-2015,citrus fruit
1670,22-11-2015,pickled vegetables
1670,30-06-2015,pork
1670,17-05-2015,soda
1670,22-11-2015,hard cheese
1670,30-06-2015,newspapers
1672,7/10/2015,whole milk
1672,5/2/2015,pip fruit
1672,26-01-2014,sausage
1672,7/10/2015,yogurt
1672,5/2/2015,brandy
1672,26-01-2014,white bread
1673,8/4/2014,citrus fruit
1673,8/4/2014,grapes
1674,4/12/2015,sausage
1674,2/4/2015,zwieback
1674,7/6/2014,detergent
1674,30-06-2014,chicken
1674,4/12/2015,beverages
1674,2/4/2015,shopping bags
1674,7/6/2014,tropical fruit
1674,30-06-2014,ice cream
1674,2/4/2015,kitchen towels
1674,30-06-2014,bottled water
1674,7/6/2014,soda
1674,7/6/2014,margarine
1676,11/10/2015,citrus fruit
1676,15-05-2014,other vegetables
1676,29-03-2014,root vegetables
1676,11/11/2014,other vegetables
1676,11/10/2015,whole milk
1676,11/10/2015,fruit/vegetable juice
1676,15-05-2014,misc. beverages
1676,29-03-2014,soda
1676,11/11/2014,tropical fruit
1676,11/10/2015,dishes
1677,9/12/2015,tropical fruit
1677,21-02-2015,liver loaf
1677,21-02-2014,hamburger meat
1677,24-07-2014,citrus fruit
1677,24-08-2014,yogurt
1677,9/12/2015,pip fruit
1677,21-02-2015,specialty chocolate
1677,21-02-2014,rolls/buns
1677,24-07-2014,onions
1677,24-08-2014,seasonal products
1677,9/12/2015,prosecco
1678,14-11-2015,citrus fruit
1678,14-09-2015,pork
1678,23-08-2015,bottled water
1678,1/8/2015,ham
1678,14-11-2015,canned beer
1678,14-09-2015,frozen dessert
1678,23-08-2015,whole milk
1678,1/8/2015,onions
1679,24-06-2015,other vegetables
1679,8/12/2015,whole milk
1679,19-08-2014,rolls/buns
1679,24-06-2015,frozen vegetables
1679,8/12/2015,rolls/buns
1679,19-08-2014,brown bread
1679,24-06-2015,rolls/buns
1679,23-10-2014,rolls/buns
1679,8/12/2015,salty snack
1679,19-08-2014,whipped/sour cream
1679,23-10-2014,cake bar
1680,9/9/2014,fruit/vegetable juice
1680,9/9/2014,beverages
1680,15-05-2014,pet care
1680,10/12/2014,specialty bar
1680,15-05-2014,dog food
1680,10/12/2014,soda
1681,6/7/2014,pip fruit
1681,6/7/2014,popcorn
1681,20-04-2014,butter
1681,6/7/2014,rolls/buns
1681,6/7/2014,bottled water
1681,20-04-2014,soda
1682,1/11/2015,canned beer
1682,25-06-2015,pip fruit
1682,25-06-2015,pip fruit
1682,5/7/2014,citrus fruit
1682,10/9/2014,yogurt
1682,27-04-2014,liquor
1682,9/9/2014,other vegetables
1682,18-01-2014,other vegetables
1682,25-06-2015,whipped/sour cream
1682,1/11/2015,seasonal products
1682,25-06-2015,shopping bags
1682,25-06-2015,domestic eggs
1682,5/7/2014,dessert
1682,10/9/2014,berries
1682,27-04-2014,fruit/vegetable juice
1682,9/9/2014,newspapers
1682,18-01-2014,newspapers
1682,25-06-2015,soda
1682,25-06-2015,cake bar
1682,25-06-2015,frozen meals
1683,26-05-2015,root vegetables
1683,20-08-2015,whole milk
1683,26-05-2015,turkey
1683,20-08-2015,pip fruit
1683,26-05-2015,bottled water
1684,3/1/2015,whole milk
1684,26-02-2014,canned beer
1684,17-02-2014,white wine
1684,3/1/2015,whole milk
1684,3/1/2015,coffee
1684,26-02-2014,white bread
1684,17-02-2014,curd
1684,3/1/2015,oil
1685,30-03-2015,beverages
1685,18-08-2015,other vegetables
1685,3/6/2014,soda
1685,30-03-2015,pickled vegetables
1685,18-08-2015,whole milk
1685,3/6/2014,bottled water
1685,18-10-2014,whole milk
1685,18-10-2014,waffles
1686,12/4/2014,whole milk
1686,5/5/2014,pork
1686,15-05-2014,brown bread
1686,12/4/2014,whole milk
1686,5/5/2014,root vegetables
1686,15-05-2014,canned beer
1686,12/4/2014,candles
1687,24-02-2014,sausage
1687,17-10-2014,coffee
1687,24-06-2014,specialty bar
1687,31-07-2014,chicken
1687,21-05-2014,domestic eggs
1687,24-02-2014,curd
1687,17-10-2014,pastry
1687,24-06-2014,other vegetables
1687,31-07-2014,house keeping products
1687,21-05-2014,UHT-milk
1687,24-06-2014,misc. beverages
1688,10/11/2015,finished products
1688,10/11/2015,root vegetables
1689,19-09-2014,beef
1689,9/12/2014,rolls/buns
1689,19-09-2014,pastry
1689,9/12/2014,cake bar
1689,19-09-2014,whole milk
1690,3/3/2015,sausage
1690,21-08-2015,sugar
1690,3/3/2015,sausage
1690,13-03-2014,frankfurter
1690,10/3/2014,citrus fruit
1690,9/5/2014,newspapers
1690,3/3/2015,frozen vegetables
1690,21-08-2015,curd
1690,3/3/2015,pastry
1690,13-03-2014,soda
1690,10/3/2014,yogurt
1690,9/5/2014,whipped/sour cream
1690,30-05-2014,brown bread
1690,9/5/2014,bottled water
1690,9/5/2014,curd cheese
1690,30-05-2014,rolls/buns
1692,28-06-2015,whole milk
1692,8/5/2015,citrus fruit
1692,12/6/2014,chewing gum
1692,26-07-2014,dessert
1692,4/5/2014,other vegetables
1692,11/11/2014,canned beer
1692,28-06-2015,soda
1692,8/5/2015,chicken
1692,12/6/2014,cake bar
1692,26-07-2014,fruit/vegetable juice
1692,4/5/2014,sugar
1692,11/11/2014,ready soups
1692,28-06-2015,other vegetables
1692,26-07-2014,napkins
1692,4/5/2014,oil
1693,5/9/2015,spread cheese
1693,27-12-2015,onions
1693,9/2/2014,UHT-milk
1693,30-05-2014,cream cheese 
1693,5/9/2015,specialty chocolate
1693,27-12-2015,pastry
1693,9/2/2014,other vegetables
1693,30-05-2014,canned beer
1693,9/2/2014,cream cheese 
1693,9/2/2014,rolls/buns
1693,30-05-2014,waffles
1693,5/9/2015,sugar
1694,1/10/2014,tropical fruit
1694,27-07-2014,rolls/buns
1694,1/10/2014,dessert
1694,27-07-2014,butter
1694,1/10/2014,rolls/buns
1694,1/10/2014,long life bakery product
1695,4/2/2015,meat
1695,4/2/2015,rolls/buns
1696,2/3/2015,root vegetables
1696,4/10/2015,tropical fruit
1696,1/3/2015,newspapers
1696,23-08-2014,domestic eggs
1696,6/9/2014,whole milk
1696,2/3/2015,rolls/buns
1696,4/10/2015,mustard
1696,1/3/2015,whole milk
1696,23-08-2014,root vegetables
1696,6/9/2014,coffee
1696,17-06-2014,cream cheese 
1696,1/3/2015,chewing gum
1696,17-06-2014,yogurt
1697,21-05-2015,misc. beverages
1697,23-02-2015,tropical fruit
1697,29-05-2015,root vegetables
1697,17-11-2015,dish cleaner
1697,21-05-2015,rolls/buns
1697,22-01-2014,sausage
1697,15-06-2014,pip fruit
1697,21-05-2015,frozen vegetables
1697,23-02-2015,other vegetables
1697,29-05-2015,kitchen towels
1697,17-11-2015,soda
1697,21-05-2015,beverages
1697,22-01-2014,butter
1697,15-06-2014,other vegetables
1697,21-05-2015,condensed milk
1698,26-06-2015,other vegetables
1698,22-07-2015,other vegetables
1698,17-01-2014,yogurt
1698,26-06-2015,citrus fruit
1698,26-06-2015,pork
1698,22-07-2015,yogurt
1698,17-01-2014,yogurt
1698,26-06-2015,shopping bags
1698,22-07-2015,brown bread
1699,14-05-2015,citrus fruit
1699,7/7/2015,canned vegetables
1699,25-09-2015,onions
1699,25-01-2014,liquor (appetizer)
1699,14-05-2015,pip fruit
1699,7/7/2015,chicken
1699,25-09-2015,margarine
1699,25-01-2014,hygiene articles
1699,7/7/2015,rolls/buns
1699,25-09-2015,sweet spreads
1700,30-10-2015,other vegetables
1700,5/11/2014,pip fruit
1700,30-10-2015,other vegetables
1700,5/11/2014,shopping bags
1701,17-05-2015,canned beer
1701,17-05-2015,photo/film
1702,14-01-2015,whole milk
1702,12/1/2014,yogurt
1702,5/5/2014,pastry
1702,13-05-2014,pork
1702,26-02-2014,other vegetables
1702,14-01-2015,bottled beer
1702,12/1/2014,pip fruit
1702,5/5/2014,whipped/sour cream
1702,13-05-2014,yogurt
1702,26-02-2014,waffles
1702,12/1/2014,yogurt
1702,5/5/2014,decalcifier
1702,13-05-2014,margarine
1703,21-02-2015,pork
1703,21-02-2015,waffles
1703,15-02-2015,misc. beverages
1703,2/8/2014,whole milk
1703,21-02-2015,tropical fruit
1703,21-02-2015,pork
1703,21-02-2015,canned beer
1703,15-02-2015,bottled water
1703,2/8/2014,newspapers
1703,21-02-2015,whipped/sour cream
1703,2/8/2014,frozen vegetables
1703,21-02-2015,newspapers
1703,21-02-2015,cream cheese 
1703,15-02-2015,mustard
1705,12/10/2015,baking powder
1705,28-07-2015,frozen fish
1705,20-07-2015,white bread
1705,5/5/2014,rolls/buns
1705,12/10/2015,soda
1705,28-07-2015,whole milk
1705,20-07-2015,cream cheese 
1705,5/5/2014,sauces
1706,7/3/2015,coffee
1706,14-08-2015,canned beer
1706,14-08-2015,brandy
1706,13-11-2014,root vegetables
1706,7/3/2015,bottled water
1706,14-08-2015,waffles
1706,14-08-2015,cat food
1706,13-11-2014,grapes
1706,2/4/2014,yogurt
1706,13-11-2014,soda
1706,14-08-2015,dishes
1706,7/3/2015,chocolate
1706,14-08-2015,light bulbs
1706,2/4/2014,soda
1707,9/6/2015,sausage
1707,22-12-2014,bottled beer
1707,9/6/2015,whipped/sour cream
1707,22-12-2014,brown bread
1708,2/4/2015,oil
1708,18-09-2015,cat food
1708,28-12-2015,meat
1708,28-12-2015,citrus fruit
1708,18-09-2015,whole milk
1708,18-09-2015,turkey
1708,9/7/2014,other vegetables
1708,2/4/2015,onions
1708,18-09-2015,spread cheese
1708,28-12-2015,chocolate
1708,28-12-2015,pastry
1708,18-09-2015,canned beer
1708,18-09-2015,berries
1708,9/7/2014,whole milk
1708,28-12-2015,rolls/buns
1708,18-09-2015,long life bakery product
1709,22-04-2015,sausage
1709,22-08-2014,white bread
1709,22-04-2015,root vegetables
1709,22-08-2014,coffee
1710,21-05-2015,chicken
1710,5/12/2015,chicken
1710,21-05-2015,brown bread
1710,5/12/2015,rolls/buns
1710,8/3/2014,specialty chocolate
1710,8/3/2014,rolls/buns
1711,18-06-2015,frankfurter
1711,6/6/2015,soda
1711,22-11-2015,frankfurter
1711,21-03-2015,bottled beer
1711,26-02-2015,chicken
1711,18-06-2015,whole milk
1711,23-05-2014,oil
1711,15-12-2014,yogurt
1711,18-06-2015,hamburger meat
1711,6/6/2015,soda
1711,22-11-2015,yogurt
1711,21-03-2015,citrus fruit
1711,26-02-2015,whole milk
1711,18-06-2015,white bread
1711,23-05-2014,herbs
1711,15-12-2014,yogurt
1711,9/5/2014,newspapers
1711,21-03-2015,shopping bags
1711,9/5/2014,specialty chocolate
1712,30-08-2014,spread cheese
1712,12/4/2014,cream cheese 
1712,30-08-2014,butter
1712,12/4/2014,rice
1712,30-08-2014,hygiene articles
1714,2/8/2015,whipped/sour cream
1714,22-01-2014,mustard
1714,2/8/2015,rolls/buns
1714,22-01-2014,zwieback
1714,2/8/2015,soda
1715,3/5/2015,chicken
1715,21-05-2015,butter
1715,4/7/2015,ham
1715,3/5/2015,whole milk
1715,18-10-2014,newspapers
1715,25-02-2014,spread cheese
1715,3/5/2015,curd
1715,21-05-2015,specialty chocolate
1715,4/7/2015,white wine
1715,3/5/2015,frozen meals
1715,18-10-2014,domestic eggs
1715,25-02-2014,specialty chocolate
1715,8/12/2014,margarine
1715,21-05-2015,frozen meals
1715,3/5/2015,beverages
1715,4/7/2015,shopping bags
1715,8/12/2014,bottled water
1716,16-08-2014,brown bread
1716,31-05-2014,whole milk
1716,11/8/2014,meat
1716,16-08-2014,pip fruit
1716,31-05-2014,chocolate
1716,11/8/2014,fruit/vegetable juice
1716,11/8/2014,long life bakery product
1716,11/8/2014,bottled water
1717,9/11/2015,chicken
1717,26-07-2014,pip fruit
1717,6/4/2014,rolls/buns
1717,9/11/2015,rolls/buns
1717,9/11/2015,other vegetables
1717,26-07-2014,bottled water
1717,6/4/2014,pip fruit
1717,9/11/2015,margarine
1718,11/3/2015,hamburger meat
1718,14-03-2015,frankfurter
1718,3/12/2014,domestic eggs
1718,11/3/2015,red/blush wine
1718,14-03-2015,frozen vegetables
1718,3/12/2014,rolls/buns
1718,11/3/2015,salty snack
1719,10/9/2015,coffee
1719,17-09-2015,nuts/prunes
1719,17-09-2015,canned beer
1719,14-11-2014,whole milk
1719,25-04-2014,soda
1719,10/9/2015,whole milk
1719,17-09-2015,other vegetables
1719,17-09-2015,shopping bags
1719,14-11-2014,bottled water
1719,25-04-2014,curd
1719,8/8/2014,brown bread
1719,8/8/2014,pet care
1719,25-04-2014,sliced cheese
1720,5/12/2015,root vegetables
1720,5/12/2015,onions
1720,13-09-2014,herbs
1720,5/12/2015,whole milk
1720,5/12/2015,butter
1720,13-09-2014,vinegar
1720,13-09-2014,shopping bags
1721,15-10-2015,other vegetables
1721,7/3/2014,bottled water
1721,15-10-2015,rolls/buns
1721,15-10-2015,whole milk
1721,7/3/2014,soda
1721,15-10-2015,margarine
1722,13-07-2015,tropical fruit
1722,27-08-2015,chewing gum
1722,12/7/2014,whole milk
1722,28-08-2014,tropical fruit
1722,13-11-2014,canned beer
1722,13-07-2015,whole milk
1722,27-08-2015,pastry
1722,12/7/2014,soda
1722,28-08-2014,whole milk
1722,13-11-2014,newspapers
1722,13-10-2014,butter
1722,12/7/2014,soda
1722,27-08-2015,pastry
1722,13-10-2014,dessert
1723,2/9/2015,yogurt
1723,8/12/2015,tropical fruit
1723,21-07-2014,citrus fruit
1723,2/9/2014,citrus fruit
1723,2/9/2015,sliced cheese
1723,8/12/2015,margarine
1723,21-07-2014,newspapers
1723,2/9/2014,sweet spreads
1723,2/9/2015,whipped/sour cream
1723,21-07-2014,shopping bags
1724,9/9/2015,hamburger meat
1724,23-07-2015,whole milk
1724,9/9/2015,rolls/buns
1724,22-02-2014,fruit/vegetable juice
1724,4/4/2014,chicken
1724,9/9/2015,pip fruit
1724,23-07-2015,canned beer
1724,9/9/2015,berries
1724,22-02-2014,other vegetables
1724,4/4/2014,salty snack
1724,4/4/2014,coffee
1725,21-08-2014,curd
1725,27-10-2014,tropical fruit
1725,21-09-2014,dessert
1725,21-08-2014,chicken
1725,27-10-2014,yogurt
1725,21-09-2014,newspapers
1726,26-12-2015,other vegetables
1726,2/11/2015,other vegetables
1726,2/11/2015,pip fruit
1726,5/4/2014,root vegetables
1726,14-03-2014,bottled beer
1726,26-12-2015,pip fruit
1726,2/11/2015,dessert
1726,2/11/2015,red/blush wine
1726,5/4/2014,whole milk
1726,14-03-2014,other vegetables
1726,15-05-2014,pastry
1726,26-12-2015,napkins
1726,15-05-2014,detergent
1727,18-07-2015,citrus fruit
1727,11/8/2014,brown bread
1727,18-07-2015,beef
1727,11/8/2014,whole milk
1727,11/8/2014,canned fish
1727,11/8/2014,brown bread
1728,15-08-2015,soda
1728,22-06-2014,rolls/buns
1728,18-10-2014,root vegetables
1728,15-08-2015,bottled water
1728,22-06-2014,rum
1728,18-10-2014,processed cheese
1728,15-08-2015,ice cream
1729,1/8/2015,frankfurter
1729,28-08-2015,meat
1729,23-07-2015,frankfurter
1729,15-12-2015,beef
1729,20-03-2014,other vegetables
1729,23-07-2015,rolls/buns
1729,1/8/2015,whole milk
1729,28-08-2015,whole milk
1729,23-07-2015,newspapers
1729,15-12-2015,pet care
1729,20-03-2014,whipped/sour cream
1729,23-07-2015,waffles
1729,19-04-2014,newspapers
1729,28-08-2015,ready soups
1729,19-04-2014,pastry
1730,24-01-2015,sausage
1730,19-09-2015,other vegetables
1730,25-12-2015,sausage
1730,19-08-2014,sugar
1730,24-01-2015,whole milk
1730,19-09-2015,rolls/buns
1730,25-12-2015,semi-finished bread
1730,19-08-2014,napkins
1731,9/9/2015,bottled beer
1731,20-11-2015,chicken
1731,17-08-2015,whole milk
1731,28-12-2014,sausage
1731,26-10-2014,other vegetables
1731,9/9/2015,tropical fruit
1731,20-11-2015,waffles
1731,17-08-2015,whole milk
1731,28-12-2014,salt
1731,26-10-2014,long life bakery product
1731,26-08-2014,other vegetables
1731,26-08-2014,processed cheese
1732,9/3/2015,citrus fruit
1732,29-05-2015,pork
1732,3/4/2014,citrus fruit
1732,9/3/2015,yogurt
1732,29-05-2015,long life bakery product
1732,3/4/2014,canned beer
1732,3/4/2014,flour
1733,18-03-2015,whole milk
1733,23-06-2015,pip fruit
1733,18-03-2015,coffee
1733,23-06-2015,canned fish
1733,27-02-2014,mustard
1733,2/7/2014,zwieback
1733,18-03-2015,salty snack
1733,18-03-2015,root vegetables
1733,23-06-2015,organic sausage
1733,18-03-2015,yogurt
1733,23-06-2015,pastry
1733,27-02-2014,rolls/buns
1733,2/7/2014,butter
1733,18-03-2015,oil
1733,27-02-2014,white bread
1733,18-03-2015,soft cheese
1733,27-02-2014,newspapers
1734,13-07-2015,rolls/buns
1734,20-03-2015,beef
1734,8/6/2015,sausage
1734,15-02-2015,chocolate
1734,8/6/2015,tropical fruit
1734,7/11/2014,napkins
1734,17-08-2014,other vegetables
1734,15-02-2015,whipped/sour cream
1734,13-07-2015,bottled water
1734,20-03-2015,rum
1734,8/6/2015,pork
1734,15-02-2015,baking powder
1734,8/6/2015,rolls/buns
1734,7/11/2014,yogurt
1734,17-08-2014,beverages
1734,15-02-2015,frozen vegetables
1734,20-03-2015,brown bread
1735,6/8/2014,soda
1735,22-04-2014,curd
1735,6/8/2014,napkins
1735,22-04-2014,rolls/buns
1735,22-04-2014,candy
1736,29-08-2015,rolls/buns
1736,11/3/2014,butter
1736,30-09-2014,whole milk
1736,10/9/2014,tropical fruit
1736,29-08-2015,pickled vegetables
1736,29-08-2015,chocolate
1736,11/3/2014,soda
1736,30-09-2014,root vegetables
1736,10/9/2014,long life bakery product
1736,29-08-2015,whole milk
1736,15-07-2014,butter
1736,15-07-2014,soda
1737,15-05-2015,tropical fruit
1737,23-01-2015,citrus fruit
1737,9/5/2015,pastry
1737,23-01-2015,whole milk
1737,5/9/2015,hamburger meat
1737,9/5/2015,hamburger meat
1737,9/5/2015,newspapers
1737,9/5/2015,other vegetables
1737,28-08-2014,sausage
1737,4/9/2014,yogurt
1737,15-05-2015,citrus fruit
1737,23-01-2015,rolls/buns
1737,9/5/2015,root vegetables
1737,23-01-2015,liquor
1737,5/9/2015,condensed milk
1737,9/5/2015,instant coffee
1737,9/5/2015,yogurt
1737,9/5/2015,domestic eggs
1737,28-08-2014,detergent
1737,4/9/2014,flour
1737,23-01-2015,tropical fruit
1738,6/9/2014,dessert
1738,15-07-2014,brown bread
1738,10/8/2014,whole milk
1738,1/10/2014,yogurt
1738,6/9/2014,pastry
1738,15-07-2014,soda
1738,10/8/2014,liquor (appetizer)
1738,1/10/2014,rolls/buns
1739,31-05-2015,sausage
1739,31-05-2015,soda
1739,11/9/2014,pastry
1739,11/9/2014,photo/film
1740,21-11-2014,ham
1740,8/7/2014,specialty bar
1740,30-10-2014,domestic eggs
1740,21-02-2014,root vegetables
1740,26-07-2014,tropical fruit
1740,13-07-2014,whipped/sour cream
1740,21-11-2014,curd cheese
1740,8/7/2014,soda
1740,30-10-2014,whole milk
1740,21-02-2014,soda
1740,26-07-2014,white bread
1740,13-07-2014,rolls/buns
1740,11/7/2014,canned beer
1740,21-02-2014,dessert
1740,30-10-2014,napkins
1740,11/7/2014,yogurt
1741,20-12-2015,sausage
1741,12/7/2014,liver loaf
1741,8/10/2014,rolls/buns
1741,10/12/2014,fruit/vegetable juice
1741,20-12-2015,napkins
1741,12/7/2014,other vegetables
1741,8/10/2014,packaged fruit/vegetables
1741,10/12/2014,packaged fruit/vegetables
1741,19-07-2014,margarine
1741,5/12/2014,specialty chocolate
1741,20-12-2015,curd
1741,19-07-2014,bottled beer
1741,5/12/2014,candles
1742,5/7/2015,napkins
1742,12/12/2015,sausage
1742,27-11-2015,other vegetables
1742,20-10-2014,frankfurter
1742,5/7/2015,photo/film
1742,12/12/2015,detergent
1742,27-11-2015,root vegetables
1742,20-10-2014,mustard
1742,12/12/2015,salty snack
1743,18-04-2015,sliced cheese
1743,13-11-2015,pip fruit
1743,13-11-2015,frozen meals
1743,17-01-2014,frankfurter
1743,1/12/2014,root vegetables
1743,18-04-2015,dessert
1743,13-11-2015,white bread
1743,13-11-2015,brown bread
1743,17-01-2014,whipped/sour cream
1743,1/12/2014,whipped/sour cream
1743,18-04-2015,cream cheese 
1743,1/12/2014,specialty bar
1743,13-11-2015,fruit/vegetable juice
1743,13-11-2015,pastry
1744,27-06-2015,canned beer
1744,28-09-2015,domestic eggs
1744,27-06-2015,soda
1744,28-09-2015,bottled beer
1745,22-03-2014,tropical fruit
1745,22-03-2014,yogurt
1746,15-02-2015,Instant food products
1746,8/8/2015,pip fruit
1746,14-10-2015,whole milk
1746,21-03-2014,root vegetables
1746,23-10-2014,tropical fruit
1746,15-02-2015,pip fruit
1746,8/8/2015,bottled water
1746,14-10-2015,UHT-milk
1746,21-03-2014,margarine
1746,23-10-2014,cream cheese 
1747,7/1/2014,frankfurter
1747,17-12-2014,canned beer
1747,17-09-2014,curd
1747,24-05-2014,root vegetables
1747,7/1/2014,margarine
1747,17-12-2014,red/blush wine
1747,17-09-2014,whipped/sour cream
1747,24-05-2014,other vegetables
1747,7/9/2014,roll products 
1747,7/1/2014,frozen vegetables
1747,7/9/2014,rolls/buns
1748,8/3/2015,pip fruit
1748,14-08-2014,kitchen utensil
1748,26-08-2014,bottled beer
1748,27-07-2014,whipped/sour cream
1748,12/3/2014,soda
1748,8/3/2015,roll products 
1748,8/3/2015,beverages
1748,14-08-2014,bottled water
1748,26-08-2014,butter
1748,27-07-2014,yogurt
1748,12/3/2014,root vegetables
1748,8/3/2015,whole milk
1748,14-08-2014,rolls/buns
1748,27-07-2014,processed cheese
1748,27-07-2014,rolls/buns
1748,8/3/2015,canned fish
1748,8/3/2015,sugar
1748,14-08-2014,pasta
1748,14-08-2014,bottled water
1749,4/1/2015,frankfurter
1749,9/9/2014,berries
1749,9/12/2014,ham
1749,4/1/2015,specialty cheese
1749,9/9/2014,root vegetables
1749,9/12/2014,onions
1749,4/1/2015,soft cheese
1749,9/12/2014,baking powder
1750,8/2/2015,onions
1750,28-05-2014,beef
1750,9/6/2014,whole milk
1750,17-07-2014,root vegetables
